[[0.0, 0.01112, 1.13949, 4.0, 0.06387],
[1.0, 0.1352, 1.00074, 4.0, 0.04653],
[2.0, 0.26846, 0.85148, 4.0, 0.05002],
[3.0, 0.40979, 0.69296, 4.0, 0.05309],
[4.0, 0.56477, 0.51881, 3.70489, 0.06293],
[5.0, 0.73414, 0.32812, 2.98415, 0.08547],
[6.0, 0.91684, 0.12203, 2.56545, 0.10735],
[7.0, 1.11063, -0.097, 2.28293, 0.12811],
[8.0, 1.31099, -0.32443, 2.07286, 0.14622],
[9.0, 1.51343, -0.54953, 1.90619, 0.15882],
[10.0, 1.72028, -0.76965, 1.76389, 0.17125],
[11.0, 1.93372, -0.982, 1.62984, 0.18472],
[12.0, 2.15572, -1.18368, 1.41752, 0.21159],
[13.0, 2.38809, -1.37176, 1.2379, 0.2415],
[14.0, 2.63253, -1.54309, 1.11245, 0.26833],
[15.0, 2.88519, -1.6913, 1.01713, 0.28799],
[16.0, 3.11891, -1.8593, 0.94212, 0.30552],
[17.0, 3.33162, -2.04984, 0.87838, 0.32511],
[18.0, 3.51581, -2.26902, 0.82525, 0.34693],
[19.0, 3.65591, -2.5175, 0.82525, 0.34565],
[20.0, 3.73349, -2.77807, 0.82525, 0.32944],
[21.0, 3.74305, -3.02772, 0.82525, 0.30274],
[22.0, 3.6903, -3.25189, 0.82525, 0.27906],
[23.0, 3.5822, -3.44054, 0.82525, 0.26347],
[24.0, 3.42466, -3.58316, 0.87648, 0.24245],
[25.0, 3.23121, -3.67852, 0.92384, 0.23345],
[26.0, 3.01044, -3.72345, 0.97397, 0.23132],
[27.0, 2.77001, -3.71292, 1.03235, 0.23312],
[28.0, 2.5191, -3.6413, 1.10003, 0.2372],
[29.0, 2.28044, -3.51186, 1.15746, 0.23457],
[30.0, 2.03215, -3.43514, 1.22466, 0.2122],
[31.0, 1.77902, -3.40232, 1.01067, 0.25255],
[32.0, 1.52383, -3.40759, 0.86675, 0.29449],
[33.0, 1.2684, -3.44655, 0.77062, 0.3353],
[34.0, 1.01401, -3.51545, 0.7, 0.3765],
[35.0, 0.77053, -3.60671, 0.7, 0.37146],
[36.0, 0.53362, -3.6548, 0.7, 0.34535],
[37.0, 0.3104, -3.64892, 0.7, 0.31899],
[38.0, 0.11026, -3.58394, 0.7, 0.30061],
[39.0, -0.05291, -3.45595, 0.7, 0.29625],
[40.0, -0.15229, -3.25999, 0.92835, 0.23668],
[41.0, -0.20067, -3.02752, 1.13885, 0.2085],
[42.0, -0.20464, -2.77018, 1.09269, 0.23554],
[43.0, -0.18115, -2.49996, 0.98802, 0.27453],
[44.0, -0.16489, -2.21174, 0.90708, 0.31826],
[45.0, -0.17203, -1.93114, 0.84249, 0.33316],
[46.0, -0.21333, -1.66507, 0.78831, 0.34156],
[47.0, -0.29504, -1.42209, 0.78831, 0.32519],
[48.0, -0.41885, -1.21212, 0.78831, 0.30922],
[49.0, -0.582, -1.04584, 0.78831, 0.29551],
[50.0, -0.77765, -0.93445, 0.78831, 0.28559],
[51.0, -0.99454, -0.88962, 0.78831, 0.28096],
[52.0, -1.21466, -0.92357, 0.92508, 0.24075],
[53.0, -1.42325, -1.01555, 0.97375, 0.23412],
[54.0, -1.6111, -1.16128, 1.03089, 0.23063],
[55.0, -1.76942, -1.35625, 1.099, 0.22853],
[56.0, -1.88994, -1.5943, 1.08297, 0.24638],
[57.0, -1.96612, -1.86645, 1.01092, 0.27955],
[58.0, -1.99508, -2.16083, 0.9513, 0.31094],
[59.0, -1.97955, -2.46299, 0.90041, 0.33602],
[60.0, -2.01717, -2.75403, 0.85337, 0.34389],
[61.0, -2.10871, -3.01621, 0.85337, 0.32541],
[62.0, -2.24746, -3.23562, 0.85337, 0.30421],
[63.0, -2.42353, -3.40361, 0.85337, 0.28516],
[64.0, -2.6265, -3.51467, 0.85337, 0.27113],
[65.0, -2.8459, -3.56381, 0.85337, 0.26347],
[66.0, -3.06939, -3.54427, 0.8975, 0.24996],
[67.0, -3.28356, -3.46172, 0.94858, 0.24198],
[68.0, -3.47729, -3.32125, 1.00651, 0.23774],
[69.0, -3.6402, -3.12856, 1.07615, 0.23447],
[70.0, -3.76315, -2.89168, 1.16149, 0.22978],
[71.0, -3.8399, -2.62155, 1.26915, 0.22127],
[72.0, -3.86904, -2.33091, 1.41308, 0.20671],
[73.0, -3.85489, -2.03183, 1.61591, 0.18529],
[74.0, -3.80613, -1.73316, 1.9359, 0.15632],
[75.0, -3.73346, -1.4389, 2.34002, 0.12953],
[76.0, -3.64481, -1.14933, 1.73035, 0.17501],
[77.0, -3.54432, -0.86392, 1.41515, 0.21382],
[78.0, -3.43592, -0.58153, 1.22567, 0.24679],
[79.0, -3.32335, -0.30079, 1.09363, 0.27657],
[80.0, -3.21691, -0.03346, 1.07456, 0.26778],
[81.0, -3.12703, 0.2281, 1.07456, 0.25738],
[82.0, -3.06442, 0.48208, 1.07456, 0.24344],
[83.0, -3.03591, 0.72816, 1.07456, 0.23054],
[84.0, -3.04665, 0.96545, 1.07456, 0.22105],
[85.0, -3.10228, 1.19182, 1.07456, 0.21693],
[86.0, -3.20394, 1.40584, 1.1513, 0.2058],
[87.0, -3.33801, 1.61107, 1.07846, 0.22731],
[88.0, -3.49698, 1.81004, 1.01624, 0.25061],
[89.0, -3.63841, 2.03708, 0.96295, 0.27777],
[90.0, -3.74471, 2.28069, 0.91433, 0.2907],
[91.0, -3.80715, 2.53563, 0.87173, 0.3011],
[92.0, -3.81881, 2.79193, 0.87173, 0.29431],
[93.0, -3.77668, 3.03661, 0.87173, 0.28481],
[94.0, -3.68224, 3.25657, 0.87173, 0.27461],
[95.0, -3.54007, 3.44022, 0.87173, 0.26642],
[96.0, -3.35598, 3.57647, 0.87173, 0.26272],
[97.0, -3.13761, 3.65255, 0.98213, 0.23546],
[98.0, -2.90081, 3.67467, 1.05308, 0.22584],
[99.0, -2.65462, 3.64377, 1.14104, 0.21746],
[100.0, -2.40706, 3.56193, 1.25406, 0.20791],
[101.0, -2.16513, 3.43342, 1.40692, 0.19472],
[102.0, -1.93388, 3.26521, 1.63275, 0.17514],
[103.0, -1.71536, 3.06681, 2.00852, 0.14695],
[104.0, -1.50807, 2.84882, 2.87479, 0.10464],
[105.0, -1.30725, 2.62167, 4.0, 0.0758],
[106.0, -1.10695, 2.39539, 4.0, 0.07555],
[107.0, -0.90913, 2.17228, 4.0, 0.07454],
[108.0, -0.71541, 1.95421, 4.0, 0.07292],
[109.0, -0.52632, 1.74171, 4.0, 0.07111],
[110.0, -0.34034, 1.53294, 4.0, 0.0699],
[111.0, -0.15918, 1.32994, 4.0, 0.06802]]
